tile_x,tile_y,zoom,yard_name
67781,46431,17,Yard_1
67782,46431,17,Yard_1
67781,46432,17,Yard_1
67782,46430,17,Yard_1
67780,46432,17,Yard_1
67783,46430,17,Yard_1
67780,46433,17,Yard_1
67783,46429,17,Yard_1
67784,46430,17,Yard_1
67784,46429,17,Yard_1
67785,46430,17,Yard_1
67784,46428,17,Yard_1
67785,46429,17,Yard_1
67786,46430,17,Yard_1
67785,46428,17,Yard_1
67786,46429,17,Yard_1
67787,46430,17,Yard_1
67786,46431,17,Yard_1
67785,46427,17,Yard_1
67786,46428,17,Yard_1
67787,46429,17,Yard_1
67788,46430,17,Yard_1
67787,46431,17,Yard_1
67786,46427,17,Yard_1
67787,46428,17,Yard_1
67788,46429,17,Yard_1
67786,46426,17,Yard_1
67787,46427,17,Yard_1
67788,46428,17,Yard_1
67789,46429,17,Yard_1
67787,46426,17,Yard_1
67788,46427,17,Yard_1
67789,46428,17,Yard_1
67790,46429,17,Yard_1
67787,46425,17,Yard_1
67788,46426,17,Yard_1
67789,46427,17,Yard_1
67790,46428,17,Yard_1
67788,46425,17,Yard_1
67789,46426,17,Yard_1
67790,46427,17,Yard_1
67788,46424,17,Yard_1
67789,46425,17,Yard_1
67790,46426,17,Yard_1
67791,46427,17,Yard_1
67789,46424,17,Yard_1
67790,46425,17,Yard_1
67791,46426,17,Yard_1
67789,46423,17,Yard_1
67790,46424,17,Yard_1
67791,46425,17,Yard_1
67792,46426,17,Yard_1
67789,46422,17,Yard_1
67790,46423,17,Yard_1
67791,46424,17,Yard_1
67792,46425,17,Yard_1
67793,46426,17,Yard_1
67790,46422,17,Yard_1
67791,46423,17,Yard_1
67792,46424,17,Yard_1
67793,46425,17,Yard_1
67794,46426,17,Yard_1
67793,46427,17,Yard_1
67792,46423,17,Yard_1
67793,46424,17,Yard_1
67793,46423,17,Yard_1
67793,46422,17,Yard_1
