tile_x,tile_y,zoom,inside_polygon
8464,5789,14,0
8464,5790,14,0
8464,5791,14,0
8464,5792,14,0
8464,5793,14,0
8464,5794,14,0
8464,5795,14,0
8464,5796,14,0
8464,5797,14,0
8464,5798,14,0
8464,5799,14,0
8464,5800,14,0
8464,5801,14,0
8464,5802,14,0
8464,5803,14,0
8464,5804,14,0
8464,5805,14,0
8464,5806,14,0
8464,5807,14,0
8464,5808,14,0
8464,5809,14,0
8464,5810,14,0
8464,5811,14,1
8464,5812,14,1
8464,5813,14,0
8464,5814,14,1
8464,5815,14,0
8464,5816,14,0
8464,5817,14,0
8464,5818,14,0
8464,5819,14,0
8464,5820,14,0
8464,5821,14,0
8464,5822,14,0
8465,5789,14,0
8465,5790,14,0
8465,5791,14,0
8465,5792,14,0
8465,5793,14,0
8465,5794,14,0
8465,5795,14,0
8465,5796,14,0
8465,5797,14,0
8465,5798,14,0
8465,5799,14,0
8465,5800,14,0
8465,5801,14,0
8465,5802,14,0
8465,5803,14,0
8465,5804,14,0
8465,5805,14,0
8465,5806,14,0
8465,5807,14,0
8465,5808,14,0
8465,5809,14,0
8465,5810,14,1
8465,5811,14,1
8465,5812,14,1
8465,5813,14,1
8465,5814,14,1
8465,5815,14,1
8465,5816,14,1
8465,5817,14,0
8465,5818,14,0
8465,5819,14,0
8465,5820,14,0
8465,5821,14,0
8465,5822,14,0
8466,5789,14,0
8466,5790,14,0
8466,5791,14,0
8466,5792,14,0
8466,5793,14,0
8466,5794,14,0
8466,5795,14,0
8466,5796,14,0
8466,5797,14,0
8466,5798,14,0
8466,5799,14,0
8466,5800,14,0
8466,5801,14,0
8466,5802,14,0
8466,5803,14,0
8466,5804,14,0
8466,5805,14,0
8466,5806,14,0
8466,5807,14,0
8466,5808,14,0
8466,5809,14,0
8466,5810,14,1
8466,5811,14,0
8466,5812,14,0
8466,5813,14,1
8466,5814,14,1
8466,5815,14,1
8466,5816,14,0
8466,5817,14,1
8466,5818,14,1
8466,5819,14,0
8466,5820,14,0
8466,5821,14,0
8466,5822,14,0
8467,5789,14,0
8467,5790,14,0
8467,5791,14,0
8467,5792,14,0
8467,5793,14,0
8467,5794,14,0
8467,5795,14,0
8467,5796,14,0
8467,5797,14,0
8467,5798,14,0
8467,5799,14,0
8467,5800,14,0
8467,5801,14,0
8467,5802,14,0
8467,5803,14,0
8467,5804,14,0
8467,5805,14,0
8467,5806,14,1
8467,5807,14,1
8467,5808,14,0
8467,5809,14,0
8467,5810,14,1
8467,5811,14,1
8467,5812,14,0
8467,5813,14,0
8467,5814,14,1
8467,5815,14,1
8467,5816,14,1
8467,5817,14,1
8467,5818,14,1
8467,5819,14,1
8467,5820,14,0
8467,5821,14,0
8467,5822,14,0
8468,5789,14,0
8468,5790,14,0
8468,5791,14,0
8468,5792,14,0
8468,5793,14,0
8468,5794,14,0
8468,5795,14,0
8468,5796,14,0
8468,5797,14,0
8468,5798,14,0
8468,5799,14,0
8468,5800,14,0
8468,5801,14,0
8468,5802,14,0
8468,5803,14,0
8468,5804,14,0
8468,5805,14,0
8468,5806,14,1
8468,5807,14,1
8468,5808,14,1
8468,5809,14,1
8468,5810,14,1
8468,5811,14,1
8468,5812,14,0
8468,5813,14,0
8468,5814,14,0
8468,5815,14,1
8468,5816,14,1
8468,5817,14,1
