tile_x,tile_y,zoom,yard_name
67816,46397,17,Yard_5
67816,46396,17,Yard_5
67815,46397,17,Yard_5
67817,46396,17,Yard_5
67815,46396,17,Yard_5
67814,46397,17,Yard_5
67813,46397,17,Yard_5
67813,46396,17,Yard_5
67813,46398,17,Yard_5
67812,46397,17,Yard_5
67812,46396,17,Yard_5
67812,46398,17,Yard_5
67811,46397,17,Yard_5
67812,46395,17,Yard_5
67811,46396,17,Yard_5
67811,46398,17,Yard_5
67810,46397,17,Yard_5
67811,46395,17,Yard_5
67810,46396,17,Yard_5
67809,46397,17,Yard_5
67811,46394,17,Yard_5
67810,46394,17,Yard_5
