tile_x,tile_y,zoom,inside_polygon
71998,38280,17,0
71998,38281,17,0
71998,38282,17,0
71998,38283,17,0
71998,38284,17,0
71998,38285,17,0
71998,38286,17,0
71998,38287,17,0
71998,38288,17,0
71998,38289,17,0
71998,38290,17,0
71998,38291,17,0
71998,38292,17,0
71998,38293,17,0
71998,38294,17,0
71998,38295,17,0
71998,38296,17,0
71998,38297,17,0
71998,38298,17,0
71998,38299,17,0
71998,38300,17,0
71998,38301,17,0
71998,38302,17,0
71998,38303,17,0
71998,38304,17,0
71998,38305,17,0
71998,38306,17,0
71998,38307,17,0
71998,38308,17,0
71998,38309,17,0
71998,38310,17,0
71998,38311,17,0
71998,38312,17,0
71998,38313,17,0
71998,38314,17,0
71998,38315,17,0
71998,38316,17,0
71998,38317,17,0
71998,38318,17,0
71998,38319,17,0
71998,38320,17,0
71998,38321,17,0
71998,38322,17,0
71998,38323,17,0
71998,38324,17,0
71998,38325,17,0
71998,38326,17,0
71998,38327,17,0
71998,38328,17,0
71998,38329,17,0
71998,38330,17,0
71998,38331,17,0
71998,38332,17,0
71998,38333,17,0
71998,38334,17,0
71998,38335,17,0
71998,38336,17,0
71998,38337,17,0
71998,38338,17,0
71998,38339,17,0
71998,38340,17,0
71998,38341,17,0
71998,38342,17,0
71998,38343,17,0
71998,38344,17,0
71998,38345,17,0
71998,38346,17,0
71998,38347,17,0
71998,38348,17,0
71998,38349,17,0
71998,38350,17,0
71998,38351,17,0
71998,38352,17,0
71998,38353,17,0
71998,38354,17,0
71998,38355,17,0
71998,38356,17,0
71998,38357,17,0
71998,38358,17,0
71998,38359,17,0
71998,38360,17,0
71998,38361,17,0
71998,38362,17,0
71998,38363,17,0
71998,38364,17,0
71998,38365,17,0
71998,38366,17,0
71998,38367,17,0
71998,38368,17,0
71998,38369,17,0
71998,38370,17,0
71998,38371,17,0
71998,38372,17,0
71998,38373,17,0
71998,38374,17,0
71998,38375,17,0
71998,38376,17,0
71998,38377,17,0
71998,38378,17,0
71998,38379,17,0
71998,38380,17,0
71998,38381,17,0
71998,38382,17,0
71998,38383,17,0
71998,38384,17,0
71998,38385,17,0
71998,38386,17,0
71998,38387,17,0
71998,38388,17,0
71998,38389,17,0
71998,38390,17,0
71998,38391,17,0
71998,38392,17,0
71998,38393,17,0
71998,38394,17,0
71998,38395,17,0
71998,38396,17,0
71998,38397,17,0
71998,38398,17,0
71998,38399,17,0
71998,38400,17,0
71998,38401,17,0
71998,38402,17,0
71998,38403,17,0
71998,38404,17,0
71998,38405,17,0
71998,38406,17,0
71998,38407,17,0
71998,38408,17,0
71998,38409,17,0
71998,38410,17,0
71998,38411,17,0
71998,38412,17,0
71998,38413,17,0
71998,38414,17,0
71998,38415,17,0
71998,38416,17,0
71998,38417,17,0
71998,38418,17,0
71998,38419,17,0
71998,38420,17,0
71998,38421,17,0
71998,38422,17,0
71998,38423,17,0
71998,38424,17,0
71998,38425,17,0
71998,38426,17,0
71998,38427,17,0
71998,38428,17,0
71998,38429,17,0
71998,38430,17,0
71998,38431,17,0
71998,38432,17,0
71998,38433,17,0
71998,38434,17,0
71998,38435,17,0
71998,38436,17,0
71998,38437,17,0
71998,38438,17,0
71998,38439,17,0
71998,38440,17,0
71998,38441,17,0
71998,38442,17,0
71998,38443,17,0
71998,38444,17,0
71998,38445,17,0
71998,38446,17,0
71998,38447,17,0
71998,38448,17,0
71998,38449,17,0
71998,38450,17,0
71998,38451,17,0
71998,38452,17,0
71998,38453,17,0
71998,38454,17,0
71998,38455,17,0
71998,38456,17,0
71998,38457,17,0
71998,38458,17,0
71998,38459,17,0
71998,38460,17,0
71998,38461,17,0
71998,38462,17,0
71998,38463,17,0
71998,38464,17,0
71998,38465,17,0
71998,38466,17,0
71998,38467,17,0
71998,38468,17,0
71998,38469,17,0
71998,38470,17,0
71998,38471,17,0
71998,38472,17,0
71998,38473,17,0
71998,38474,17,0
71998,38475,17,0
71998,38476,17,0
71998,38477,17,0
71998,38478,17,0
71998,38479,17,0
71998,38480,17,0
71998,38481,17,0
71998,38482,17,0
71998,38483,17,0
71998,38484,17,0
71998,38485,17,0
71998,38486,17,0
71998,38487,17,0
71998,38488,17,0
71998,38489,17,0
71998,38490,17,0
71998,38491,17,0
71998,38492,17,0
71998,38493,17,0
71998,38494,17,0
71998,38495,17,0
71998,38496,17,0
71998,38497,17,0
71998,38498,17,0
71998,38499,17,0
71998,38500,17,0
71998,38501,17,0
71998,38502,17,0
71998,38503,17,0
71998,38504,17,0
71998,38505,17,0
71998,38506,17,0
71998,38507,17,0
71998,38508,17,0
71998,38509,17,0
71998,38510,17,0
71998,38511,17,0
71998,38512,17,0
71998,38513,17,0
71998,38514,17,0
71998,38515,17,0
71998,38516,17,0
71998,38517,17,0
71998,38518,17,0
71998,38519,17,0
71998,38520,17,0
71998,38521,17,0
71998,38522,17,0
71998,38523,17,0
71998,38524,17,0
71998,38525,17,0
71998,38526,17,0
71998,38527,17,0
71998,38528,17,0
71998,38529,17,0
71998,38530,17,0
71998,38531,17,0
71998,38532,17,0
71998,38533,17,0
71998,38534,17,0
71998,38535,17,0
71998,38536,17,0
71998,38537,17,0
71998,38538,17,0
71998,38539,17,0
71998,38540,17,0
71998,38541,17,0
71998,38542,17,0
71998,38543,17,0
71998,38544,17,0
71998,38545,17,0
71998,38546,17,0
71998,38547,17,0
71998,38548,17,0
71998,38549,17,0
71998,38550,17,0
71998,38551,17,0
71998,38552,17,0
71998,38553,17,0
71998,38554,17,0
71998,38555,17,0
71998,38556,17,0
71998,38557,17,0
71998,38558,17,0
71998,38559,17,0
71998,38560,17,0
71998,38561,17,0
71998,38562,17,0
71998,38563,17,0
71998,38564,17,0
71998,38565,17,0
71998,38566,17,0
71998,38567,17,0
71998,38568,17,0
71998,38569,17,0
71998,38570,17,0
71998,38571,17,0
71998,38572,17,0
71998,38573,17,0
71998,38574,17,0
71998,38575,17,0
71998,38576,17,0
71998,38577,17,0
71998,38578,17,0
71998,38579,17,0
71998,38580,17,0
71998,38581,17,0
71998,38582,17,0
71998,38583,17,0
71998,38584,17,0
71998,38585,17,0
71998,38586,17,0
71998,38587,17,0
71998,38588,17,0
71998,38589,17,0
71998,38590,17,0
71998,38591,17,0
71998,38592,17,0
71998,38593,17,0
71998,38594,17,0
71998,38595,17,0
71998,38596,17,0
71998,38597,17,0
71998,38598,17,0
71998,38599,17,0
71998,38600,17,0
71998,38601,17,0
71998,38602,17,0
71998,38603,17,0
71999,38280,17,0
71999,38281,17,0
71999,38282,17,0
71999,38283,17,0
71999,38284,17,0
71999,38285,17,0
71999,38286,17,0
71999,38287,17,0
71999,38288,17,0
71999,38289,17,0
71999,38290,17,0
71999,38291,17,0
71999,38292,17,0
71999,38293,17,0
71999,38294,17,0
71999,38295,17,0
71999,38296,17,0
71999,38297,17,0
71999,38298,17,0
71999,38299,17,0
71999,38300,17,0
71999,38301,17,0
71999,38302,17,0
71999,38303,17,0
71999,38304,17,0
71999,38305,17,0
71999,38306,17,0
71999,38307,17,0
71999,38308,17,0
71999,38309,17,0
71999,38310,17,0
71999,38311,17,0
71999,38312,17,0
71999,38313,17,0
71999,38314,17,0
71999,38315,17,0
71999,38316,17,0
71999,38317,17,0
71999,38318,17,0
71999,38319,17,0
71999,38320,17,0
71999,38321,17,0
71999,38322,17,0
71999,38323,17,0
71999,38324,17,0
71999,38325,17,0
71999,38326,17,0
71999,38327,17,0
71999,38328,17,0
71999,38329,17,0
71999,38330,17,0
71999,38331,17,0
71999,38332,17,0
71999,38333,17,0
71999,38334,17,0
71999,38335,17,0
71999,38336,17,0
71999,38337,17,0
71999,38338,17,0
71999,38339,17,0
71999,38340,17,0
71999,38341,17,0
71999,38342,17,0
71999,38343,17,0
71999,38344,17,0
71999,38345,17,0
71999,38346,17,0
71999,38347,17,0
71999,38348,17,0
71999,38349,17,0
71999,38350,17,0
71999,38351,17,0
71999,38352,17,0
71999,38353,17,0
71999,38354,17,0
71999,38355,17,0
71999,38356,17,0
71999,38357,17,0
71999,38358,17,0
71999,38359,17,0
71999,38360,17,0
71999,38361,17,0
71999,38362,17,0
71999,38363,17,0
71999,38364,17,0
71999,38365,17,0
71999,38366,17,0
71999,38367,17,0
71999,38368,17,0
71999,38369,17,0
71999,38370,17,0
71999,38371,17,0
71999,38372,17,0
71999,38373,17,0
71999,38374,17,0
71999,38375,17,0
71999,38376,17,0
71999,38377,17,0
71999,38378,17,0
71999,38379,17,0
71999,38380,17,0
71999,38381,17,0
71999,38382,17,0
71999,38383,17,0
71999,38384,17,0
71999,38385,17,0
71999,38386,17,0
71999,38387,17,0
71999,38388,17,0
71999,38389,17,0
71999,38390,17,0
71999,38391,17,0
71999,38392,17,0
71999,38393,17,0
71999,38394,17,0
71999,38395,17,0
71999,38396,17,0
71999,38397,17,0
71999,38398,17,0
71999,38399,17,0
71999,38400,17,0
71999,38401,17,0
71999,38402,17,0
71999,38403,17,0
71999,38404,17,0
71999,38405,17,0
71999,38406,17,0
71999,38407,17,0
71999,38408,17,0
71999,38409,17,0
71999,38410,17,0
71999,38411,17,0
71999,38412,17,0
71999,38413,17,0
71999,38414,17,0
71999,38415,17,0
71999,38416,17,0
71999,38417,17,0
71999,38418,17,0
71999,38419,17,0
71999,38420,17,0
71999,38421,17,0
71999,38422,17,0
71999,38423,17,0
71999,38424,17,0
71999,38425,17,0
71999,38426,17,0
71999,38427,17,0
71999,38428,17,0
71999,38429,17,0
71999,38430,17,0
71999,38431,17,0
71999,38432,17,0
71999,38433,17,0
71999,38434,17,0
71999,38435,17,0
71999,38436,17,0
71999,38437,17,0
71999,38438,17,0
71999,38439,17,0
71999,38440,17,0
71999,38441,17,0
71999,38442,17,0
71999,38443,17,0
71999,38444,17,0
71999,38445,17,0
71999,38446,17,0
71999,38447,17,0
71999,38448,17,0
71999,38449,17,0
71999,38450,17,0
71999,38451,17,0
71999,38452,17,0
71999,38453,17,0
71999,38454,17,0
71999,38455,17,0
71999,38456,17,0
71999,38457,17,0
71999,38458,17,0
71999,38459,17,0
71999,38460,17,0
71999,38461,17,0
71999,38462,17,0
71999,38463,17,0
71999,38464,17,0
71999,38465,17,0
71999,38466,17,0
71999,38467,17,0
71999,38468,17,0
71999,38469,17,0
71999,38470,17,0
71999,38471,17,0
71999,38472,17,0
71999,38473,17,0
71999,38474,17,0
71999,38475,17,0
71999,38476,17,0
71999,38477,17,0
71999,38478,17,0
71999,38479,17,0
71999,38480,17,0
71999,38481,17,0
71999,38482,17,0
71999,38483,17,0
71999,38484,17,0
71999,38485,17,0
71999,38486,17,0
71999,38487,17,0
71999,38488,17,0
71999,38489,17,0
71999,38490,17,0
71999,38491,17,0
71999,38492,17,0
71999,38493,17,0
71999,38494,17,0
71999,38495,17,0
71999,38496,17,0
71999,38497,17,0
71999,38498,17,0
71999,38499,17,0
71999,38500,17,0
71999,38501,17,0
71999,38502,17,0
71999,38503,17,0
71999,38504,17,0
71999,38505,17,0
71999,38506,17,0
71999,38507,17,0
71999,38508,17,0
71999,38509,17,0
71999,38510,17,0
71999,38511,17,0
71999,38512,17,0
71999,38513,17,0
71999,38514,17,0
71999,38515,17,0
71999,38516,17,0
71999,38517,17,0
71999,38518,17,0
71999,38519,17,0
71999,38520,17,0
71999,38521,17,0
71999,38522,17,0
71999,38523,17,0
71999,38524,17,0
71999,38525,17,0
71999,38526,17,0
71999,38527,17,0
71999,38528,17,0
71999,38529,17,0
71999,38530,17,0
71999,38531,17,0
71999,38532,17,0
71999,38533,17,0
71999,38534,17,0
71999,38535,17,0
71999,38536,17,0
71999,38537,17,0
71999,38538,17,0
71999,38539,17,0
71999,38540,17,0
71999,38541,17,0
71999,38542,17,0
71999,38543,17,0
71999,38544,17,0
71999,38545,17,0
71999,38546,17,0
71999,38547,17,0
71999,38548,17,0
71999,38549,17,0
71999,38550,17,0
71999,38551,17,0
71999,38552,17,0
71999,38553,17,0
71999,38554,17,0
71999,38555,17,0
71999,38556,17,0
71999,38557,17,0
71999,38558,17,0
71999,38559,17,0
71999,38560,17,0
71999,38561,17,0
71999,38562,17,0
71999,38563,17,0
71999,38564,17,0
71999,38565,17,0
