tile_x,tile_y,zoom,yard_name
67827,46398,17,Yard_2
67828,46398,17,Yard_2
67827,46399,17,Yard_2
67826,46398,17,Yard_2
67828,46397,17,Yard_2
67827,46400,17,Yard_2
67826,46399,17,Yard_2
67829,46397,17,Yard_2
67826,46400,17,Yard_2
67825,46399,17,Yard_2
67829,46396,17,Yard_2
67824,46399,17,Yard_2
67830,46396,17,Yard_2
67824,46398,17,Yard_2
67824,46400,17,Yard_2
67830,46395,17,Yard_2
67823,46398,17,Yard_2
67823,46400,17,Yard_2
67831,46395,17,Yard_2
67823,46401,17,Yard_2
67832,46395,17,Yard_2
67822,46401,17,Yard_2
67832,46394,17,Yard_2
67822,46402,17,Yard_2
67833,46394,17,Yard_2
67822,46403,17,Yard_2
67821,46402,17,Yard_2
67833,46393,17,Yard_2
67821,46403,17,Yard_2
67821,46404,17,Yard_2
67820,46403,17,Yard_2
